Preview Type , Type de prévisualisation
Backward Horizontal , Séparation horizontale arrière
Forward Vertical , Séparation verticale avant
Backward Vertical , Séparation verticale arrière
Full , Entier
Forward Horizontal , Séparation horizontale avant
Duplicate Right , Copie à droite
Duplicate Left , Copie à gauche
Duplicate Bottom , Copie en bas
Duplicate Top , Copie en haut
Duplicate Vertical , Copie verticale
Duplicate Horizontal , Copie horizontale
Checkered Inverse , En damier inversé
Checkered , En damier
Preview Split , Découpage de la prévisualisation
Smoothness , Régularité
None , Aucun
Lab [ab-Chrominances] , Lab [Chrominances-ab]
Lab [b-Chrominance] , Lab [Chrominance-b]
Lab [a-Chrominance] , Lab [Chrominance-a]
Lch [h-Chrominance] , Lch [Chrominance-h]
Lch [c-Chrominance] , Lch [Chrominance-c]
Lch [ch-Chrominances] , Lch [Chrominance-ch]
All , Tous
Channel(s) , Canaux
YCbCr [Blue-Red Chrominances] , YCbCr [Chrominances bleu-rouge]
YCbCr [Blue Chrominance] , YCbCr [Chrominance bleue]
Linear RGB [All] , RVB Linéaire [Tous]
Linear RGB [Blue] , RVB Linéaire [Bleu]
Linear RGB [Green] , RVB Linéaire [Vert]
Linear RGB [Red] , RVB Linéaire [Rouge]
RGB [All] , RVB [Tous]
RGB [Blue] , RVB [Bleu]
RGB [Red] , RVB [Rouge]
RGB [Green] , RVB [Vert]
CMYK [Magenta] , CMJN [Magenta]
CMYK [Key] , CMJN [Noir]
CMYK [Cyan] , CMJN [Cyan]
HSL [Lightness] , HSL [Luminosité]
CMYK [Yellow] , CMJN [Jaune]
Lab [Lightness] , Lab [Luminosité]
HSI [Intensity] , HSI [Intensité]
HSV [Value] , HSV [Valeur]
YCbCr [Green Chrominance] , YCbCr [Chrominance verte]
YCbCr [Red Chrominance] , YCbCr [Chrominance rouge]
HSV [Hue] , HSV [Teinte]
RGBA [All] , RGBA [Tous]
RYB [Yellow] , RJB [Jaune]
RYB [Blue] , RJB [Bleu]
RYB [All] , RJB [Tous]
RYB [Red] , RJB [Rouge]
Color , Couleur
Radius , Rayon
Iterations , Itérations
Preset , Préréglage
Normalize , Normalise
Cut , Coupe
Opacity , Opacité
Mirror , Mirroir
All [Collage] , Tous [Collage]
Density , Densité
Size , Taille
Threshold , Seuil
Antialiasing , Anticrénelage
Nearest ,
Periodic ,
Boundary ,
Auto ,
Transparent ,
RGB ,
Lock Source ,
Replace Source by Target ,
Value Action ,
Scale ,
Sharpness ,
Parallel Processing ,
Center (%) ,
Size (%) ,
Linear ,
Lightness ,
Lab ,
Random ,
Gamma ,
Hue ,
Value ,
Gaussian ,
Thickness ,
Saturation ,
X-Angle ,
Interpolation ,
Contrast (%) ,
Y-Angle ,
Luminance ,
Darken ,
CMYK [magenta] ,
CMYK [key] ,
CMYK [yellow] ,
HSV [value] ,
HSI [intensity] ,
HSV [hue] ,
HSV [saturation] ,
Gamma (%) ,
HSL [lightness] ,
Brightness (%) ,
CMYK [cyan] ,
YCbCr [green Chrominance] ,
YCbCr [red Chrominance] ,
Resolution ,
Lab [lightness] ,
Multiply ,
Linear RGB [red] ,
Linear RGB [green] ,
Contrast ,
YCbCr [blue-Red Chrominances] ,
Z-Angle ,
RGBA [all] ,
Height ,
HSV ,
YCbCr [blue Chrominance] ,
RGB [all] ,
RGB [green] ,
RGB [blue] ,
Overlay ,
Average ,
RGB [red] ,
Linear RGB [blue] ,
RGBA [alpha] ,
YCbCr [luminance] ,
Linear RGB [all] ,
Colorspace ,
Edges ,
Width ,
Amount ,
Four Threads ,
Flat ,
SRGB ,
Normal ,
Sixteen Threads ,
Eight Threads ,
Two Threads ,
One Thread ,
Spatial Overlap ,
Specular Lightness ,
Z-Light ,
Alpha ,
Specular Shininess ,
Negative ,
Mode ,
Grain Merge ,
Linear RGB ,
Y-Light ,
X-Light ,
YCbCr ,
Red ,
FOV ,
Y-Tiles ,
Output Folder ,
X-Tiles ,
Blue ,
Frames ,
Zoom ,
Hard Light ,
Saturation (%) ,
Add ,
Lighten ,
Edge Threshold ,
Type ,
Reflect ,
Green ,
Strength ,
HSI ,
Soft Light ,
Difference ,
Negation ,
Negative Colors ,
Opacity (%) ,
Tangent ,
Anisotropy ,
Anti-Aliasing ,
YIQ [luma] ,
Burn ,
Rendering ,
Sinusoidal ,
YIQ [chromas] ,
Dodge ,
Value Offset ,
Off ,
Screen ,
Stamp ,
Hue (%) ,
Shape ,
Number of Scales ,
Arc-Tangent ,
X-Axis ,
Hue Offset ,
Target Value (%) ,
Target Saturation (%) ,
Target Hue (%) ,
Wireframe ,
Offset ,
Nearest Neighbor ,
Lock ,
Top Layer ,
Bottom Layer ,
Exclusion ,
Precision ,
Smooth ,
Flat-Shaded ,
Freeze ,
Phong ,
Dots ,
Remap ,
Saturation Offset ,
Gouraud ,
Cosinusoidal ,
Depth ,
Y-Axis ,
Positive ,
Strength (%) ,
HSL ,
Outline Color ,
Custom Formula ,
Shadows ,
Xor ,
Black ,
Custom ,
Density (%) ,
Bilateral ,
Black & White ,
Random Seed ,
Highlights ,
0 Deg. ,
Patch Size ,
Regularization ,
Rotate ,
Output ,
Tones Smoothness ,
Orientation ,
Invert ,
Factor ,
Smoothness (%) ,
And ,
Output Mode ,
Equalize ,
Channels ,
Salt and Pepper ,
Divide ,
Dilation ,
X-Offset ,
Y-Offset ,
Y-Size ,
Subtract ,
Number of Colors ,
Tones Range ,
Horizontal ,
Seed ,
Time Step ,
Details Scale ,
Coherence ,
Black on White ,
Grain Extract ,
Gradient Smoothness ,
Bicubic ,
Softlight ,
Tolerance ,
Vertical ,
XY-Axes ,
White on Black ,
X-Size ,
Poisson ,
Contours ,
All Tones ,
Output as Files ,
Output as Frames ,
Abstraction ,
Cube ,
Uniform ,
90 Deg. ,
Transparency ,
Square ,
Preserve ,
Mid-Tones ,
White ,
Colors ,
Lanczos ,
Fine ,
Blend Mode ,
Normalize Colors ,
Post-Normalize ,
Landscape ,
Y-Shadow ,
Frequency ,
Edge ,
Base Scale ,
Min Threshold ,
Neumann ,
Triangle ,
Mask Color ,
Equalize Light ,
Repeat ,
Values ,
Max Threshold ,
Merging Option ,
Preview Progression While Running ,
180 Deg. ,
Fast Approximation ,
Outline ,
Smoothness Type ,
Color Mode ,
Grainmerge ,
Blur ,
Shading ,
Center ,
X-Shadow ,
X1.5 ,
Sigma ,
X-Offset (%) ,
CMYK ,
Darker ,
Gain ,
Scales ,
Tensor Smoothness ,
Diamond ,
Y-Offset (%) ,
Darkness ,
Levels ,
Output Frames ,
Color Strength ,
Hardlight ,
Some Magenta ,
Some Key ,
Ending Value ,
Starting Feathering ,
Automatic ,
Skip All Other Steps ,
Output Files ,
Attenuation ,
Ratio ,
Softburn ,
Color Boost ,
Length ,
Softdodge ,
Filename ,
Circular ,
Sphere ,
Some Yellow ,
Area ,
Some Cyan ,
Hue Shift ,
Frame Size ,
Color Model ,
Itérations ,
Orientations ,
Torus ,
Brightness ,
Grayscale ,
Curvature ,
Background Color ,
Grainextract ,
Disable ,
Number of Tones ,
Scale (%) ,
Blank ,
Bloc ,
Pre-Normalize ,
Both ,
Outline (%) ,
Output As ,
Edge Thickness ,
Preview Shows ,
Starting Value ,
Automatic Depth Estimation ,
Ending Feathering ,
Preview Guides ,
Intensity ,
Background ,
CMY ,
Sharpening ,
Cubic ,
Revert Layers ,
Reverse Order ,
Minimal Area ,
A Lot of Cyan ,
Mirror-Y ,
Mirror-XY ,
Little Cyan ,
X/Y-Ratio ,
X-Amplitude ,
Monochrome ,
Mask Dilation ,
Wrap ,
Little Yellow ,
Y-Amplitude ,
Light ,
A Lot of Magenta ,
A Lot of Yellow ,
Mirror-X ,
Action ,
Little Key ,
Little Magenta ,
A Lot of Key ,
Lines ,
Method ,
Medium ,
Maximal Size ,
Diffusion ,
Color Dispersion ,
Color Doping ,
Low ,
Color Balance ,
Color 2 ,
Soft ,
Color 1 ,
Output Format ,
X-Factor ,
Stars ,
Radius (%) ,
Central Perspective Indoor ,
Star ,
Standard ,
Spread ,
Human 1 ,
Coarse ,
Specular Size ,
Hue Band ,
Closing ,
Circles ,
Image ,
Spacing ,
Some Blue ,
Squares ,
Lookup Size ,
Some Green ,
Output as Separate Layers ,
Some Red ,
Opening ,
Keep Iterations as Different Layers ,
Linearlight ,
Linearity ,
Linearburn ,
Bottom and Top Foreground ,
Bottom and Right Foreground ,
Bottom and Left Foreground ,
Bottom Right ,
Bottom Left ,
Blue & Red Chrominances ,
Blend Size ,
Threshold (%) ,
Black on Transparent White ,
Noise Type ,
Vignette Size ,
Vividlight ,
Kernel ,
Number of Orientations ,
Number of Levels ,
Text ,
Stencil Type ,
Input ,
White on Transparent Black ,
Little Red ,
Little Green ,
Starting Color ,
Local Detail Enhancer ,
Center Foreground ,
Center Background ,
Width (%) ,
Little Blue ,
Interlace Vertical ,
Interpolate ,
Isotropic ,
Boundary Condition ,
Optimized Lateral Inhibition ,
Stroke Length ,
Weird ,
Studio ,
Inter-Frames ,
Interlace Horizontal ,
Color Temperature ,
Mask ,
Dithering ,
Distance ,
Y-Shift ,
Y-Multiplier ,
Min ,
Edge-Oriented ,
Preview Ref Point ,
1st Color ,
Right Foreground ,
Saturation Correction ,
Deviation ,
Details ,
Gamma Compensation ,
Scene Selector ,
Minimal Size ,
Full Bottom/top ,
2nd Color ,
Full HD Frame Packing ,
Full Side by Side Keep Width ,
Y-Factor ,
Flower ,
Recursions ,
Focale ,
Forward ,
Z-Size ,
Radial ,
Zoom Factor ,
Flip Left / Right ,
Feature Analyzer Threshold ,
Feature Analyzer Smoothness ,
Reference Colors ,
Ending Color ,
Yellow ,
Frequency Analyzer ,
Max ,
Resolution (%) ,
Z-Offset ,
Pyramid ,
Z-Multiplier ,
Regularization Iterations ,
Erosion ,
Skip Others Steps ,
Pinlight ,
X-Shift ,
Half Bottom/top ,
Half Side  by Side ,
Plasma ,
Plane ,
Gyroid ,
X2.5 ,
Contour Threshold ,
X-Multiplier ,
Hexagon ,
High ,
Smoothing ,
Color on White ,
Color Tolerance ,
Colormap ,
Hardmix ,
Heart ,
Hearts ,
Height (%) ,
Polaroid Time Zero (Expired) Cold - ,
Polaroid Time Zero (Expired) - ,
Delaunay-Guided ,
Sepia ,
Daylight Scene ,
Detail ,
Despeckle ,
Portrait ,
Depth Field Control ,
Segmentation ,
Shadow ,
Magenta ,
Cup ,
Shift ,
Grid ,
Couleurs Aléatoires / Random Colors ,
DOF Analyzer ,
Shadow Smoothness ,
Cyan ,
Shapeaverage ,
Sharpen ,
Affichage / Display Contours ,
Anaglyph Blue/yellow ,
User-Defined ,
Large ,
Left and Right Foreground ,
Light Color ,
Top Left ,
Top Right ,
Anaglyph Red/cyan ,
Anaglyph Red/cyan Optimized ,
Anti-Ghosting ,
Level ,
Kuwahara ,
Twirl ,
Much Blue ,
Angular ,
